,pokedex_number,name,generation,status,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
41,30,Nidorina,1,Normal,Poison,,0.8,20.0,365,70,62,67,56,120.0,70.0,128.0,Medium Slow,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
42,31,Nidoqueen,1,Normal,Poison,Ground,1.3,60.0,505,90,92,87,76,45.0,70.0,227.0,Medium Slow,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
43,32,Nidoran♂,1,Normal,Poison,,0.5,9.0,273,46,57,40,50,235.0,70.0,55.0,Medium Slow,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
44,33,Nidorino,1,Normal,Poison,,0.9,19.5,365,61,72,57,65,120.0,70.0,128.0,Medium Slow,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
45,34,Nidoking,1,Normal,Poison,Ground,1.4,62.0,505,81,102,77,85,45.0,70.0,227.0,Medium Slow,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
46,35,Clefairy,1,Normal,Fairy,,0.6,7.5,323,70,45,48,35,150.0,140.0,113.0,Fast,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
47,36,Clefable,1,Normal,Fairy,,1.3,40.0,483,95,70,73,60,25.0,140.0,217.0,Fast,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
48,37,Vulpix,1,Normal,Fire,,0.6,9.9,299,38,41,40,65,190.0,70.0,60.0,Medium Fast,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
50,38,Ninetales,1,Normal,Fire,,1.1,19.9,505,73,76,75,100,75.0,70.0,177.0,Medium Fast,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
52,39,Jigglypuff,1,Normal,Normal,Fairy,0.5,5.5,270,115,45,20,20,170.0,70.0,95.0,Fast,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
53,40,Wigglytuff,1,Normal,Normal,Fairy,1.0,12.0,435,140,70,45,45,50.0,70.0,196.0,Fast,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
54,41,Zubat,1,Normal,Poison,Flying,0.8,7.5,245,40,45,35,55,255.0,70.0,49.0,Medium Fast,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
55,42,Golbat,1,Normal,Poison,Flying,1.6,55.0,455,75,80,70,90,90.0,70.0,159.0,Medium Fast,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
56,43,Oddish,1,Normal,Grass,Poison,0.5,5.4,320,45,50,55,30,255.0,70.0,64.0,Medium Slow,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
57,44,Gloom,1,Normal,Grass,Poison,0.8,8.6,395,60,65,70,40,120.0,70.0,138.0,Medium Slow,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
58,45,Vileplume,1,Normal,Grass,Poison,1.2,18.6,490,75,80,85,50,45.0,70.0,221.0,Medium Slow,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
59,46,Paras,1,Normal,Bug,Grass,0.3,5.4,285,35,70,55,25,190.0,70.0,57.0,Medium Fast,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
60,47,Parasect,1,Normal,Bug,Grass,1.0,29.5,405,60,95,80,30,75.0,70.0,142.0,Medium Fast,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
61,48,Venonat,1,Normal,Bug,Poison,1.0,30.0,305,60,55,50,45,190.0,70.0,61.0,Medium Fast,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
62,49,Venomoth,1,Normal,Bug,Poison,1.5,12.5,450,70,65,60,90,75.0,70.0,158.0,Medium Fast,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
63,50,Diglett,1,Normal,Ground,,0.2,0.8,265,10,55,25,95,255.0,70.0,53.0,Medium Fast,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
65,51,Dugtrio,1,Normal,Ground,,0.7,33.3,425,35,100,50,120,50.0,70.0,149.0,Medium Fast,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
67,52,Meowth,1,Normal,Normal,,0.4,4.2,290,40,45,35,90,255.0,70.0,58.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
70,53,Persian,1,Normal,Normal,,1.0,32.0,440,65,70,60,115,90.0,70.0,154.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
72,54,Psyduck,1,Normal,Water,,0.8,19.6,320,50,52,48,55,190.0,70.0,64.0,Medium Fast,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
73,55,Golduck,1,Normal,Water,,1.7,76.6,500,80,82,78,85,75.0,70.0,175.0,Medium Fast,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
74,56,Mankey,1,Normal,Fighting,,0.5,28.0,305,40,80,35,70,190.0,70.0,61.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
75,57,Primeape,1,Normal,Fighting,,1.0,32.0,455,65,105,60,95,75.0,70.0,159.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
76,58,Growlithe,1,Normal,Fire,,0.7,19.0,350,55,70,45,60,190.0,70.0,70.0,Slow,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
77,59,Arcanine,1,Normal,Fire,,1.9,155.0,555,90,110,80,95,75.0,70.0,194.0,Slow,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
78,60,Poliwag,1,Normal,Water,,0.6,12.4,300,40,50,40,90,255.0,70.0,60.0,Medium Slow,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
79,61,Poliwhirl,1,Normal,Water,,1.0,20.0,385,65,65,65,90,120.0,70.0,135.0,Medium Slow,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
80,62,Poliwrath,1,Normal,Water,Fighting,1.3,54.0,510,90,95,95,70,45.0,70.0,230.0,Medium Slow,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
81,63,Abra,1,Normal,Psychic,,0.9,19.5,310,25,20,15,90,200.0,70.0,62.0,Medium Slow,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
82,64,Kadabra,1,Normal,Psychic,,1.3,56.5,400,40,35,30,105,100.0,70.0,140.0,Medium Slow,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
83,65,Alakazam,1,Normal,Psychic,,1.5,48.0,500,55,50,45,120,50.0,70.0,225.0,Medium Slow,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
85,66,Machop,1,Normal,Fighting,,0.8,19.5,305,70,80,50,35,180.0,70.0,61.0,Medium Slow,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
86,67,Machoke,1,Normal,Fighting,,1.5,70.5,405,80,100,70,45,90.0,70.0,142.0,Medium Slow,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
87,68,Machamp,1,Normal,Fighting,,1.6,130.0,505,90,130,80,55,45.0,70.0,227.0,Medium Slow,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
88,69,Bellsprout,1,Normal,Grass,Poison,0.7,4.0,300,50,75,35,40,255.0,70.0,60.0,Medium Slow,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
89,70,Weepinbell,1,Normal,Grass,Poison,1.0,6.4,390,65,90,50,55,120.0,70.0,137.0,Medium Slow,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
90,71,Victreebel,1,Normal,Grass,Poison,1.7,15.5,490,80,105,65,70,45.0,70.0,221.0,Medium Slow,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
91,72,Tentacool,1,Normal,Water,Poison,0.9,45.5,335,40,40,35,70,190.0,70.0,67.0,Slow,20.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
92,73,Tentacruel,1,Normal,Water,Poison,1.6,55.0,515,80,70,65,100,60.0,70.0,180.0,Slow,20.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
93,74,Geodude,1,Normal,Rock,Ground,0.4,20.0,300,40,80,100,20,255.0,70.0,60.0,Medium Slow,15.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
95,75,Graveler,1,Normal,Rock,Ground,1.0,105.0,390,55,95,115,35,120.0,70.0,137.0,Medium Slow,15.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
97,76,Golem,1,Normal,Rock,Ground,1.4,300.0,495,80,120,130,45,45.0,70.0,223.0,Medium Slow,15.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
99,77,Ponyta,1,Normal,Fire,,1.0,30.0,410,50,85,55,90,190.0,70.0,82.0,Medium Fast,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
101,78,Rapidash,1,Normal,Fire,,1.7,95.0,500,65,100,70,105,60.0,70.0,175.0,Medium Fast,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
103,79,Slowpoke,1,Normal,Water,Psychic,1.2,36.0,315,90,65,65,15,190.0,70.0,63.0,Medium Fast,20.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
105,80,Slowbro,1,Normal,Water,Psychic,1.6,78.5,490,95,75,110,30,75.0,70.0,172.0,Medium Fast,20.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
108,81,Magnemite,1,Normal,Electric,Steel,0.3,6.0,325,25,35,70,45,190.0,70.0,65.0,Medium Fast,20.0,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
109,82,Magneton,1,Normal,Electric,Steel,1.0,60.0,465,50,60,95,70,60.0,70.0,163.0,Medium Fast,20.0,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
110,83,Farfetch'd,1,Normal,Normal,Flying,0.8,15.0,377,52,90,55,60,45.0,70.0,132.0,Medium Fast,20.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
112,84,Doduo,1,Normal,Normal,Flying,1.4,39.2,310,35,85,45,75,190.0,70.0,62.0,Medium Fast,20.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
113,85,Dodrio,1,Normal,Normal,Flying,1.8,85.2,470,60,110,70,110,45.0,70.0,165.0,Medium Fast,20.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
114,86,Seel,1,Normal,Water,,1.1,90.0,325,65,45,55,45,190.0,70.0,65.0,Medium Fast,20.0,1.0,0.25,0.5,2.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
115,87,Dewgong,1,Normal,Water,Ice,1.7,120.0,475,90,70,80,70,75.0,70.0,166.0,Medium Fast,20.0,1.0,0.5,0.5,2.0,2.0,125.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
116,88,Grimer,1,Normal,Poison,,0.9,30.0,325,80,80,50,25,190.0,70.0,65.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
118,89,Muk,1,Normal,Poison,,1.2,30.0,500,105,105,75,50,75.0,70.0,175.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
120,90,Shellder,1,Normal,Water,,0.3,4.0,305,30,65,100,40,190.0,70.0,61.0,Slow,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
121,91,Cloyster,1,Normal,Water,Ice,1.5,132.5,525,50,95,180,70,60.0,70.0,184.0,Slow,20.0,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
122,92,Gastly,1,Normal,Ghost,Poison,1.3,0.1,310,30,35,30,80,190.0,70.0,62.0,Medium Slow,20.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,0.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
123,93,Haunter,1,Normal,Ghost,Poison,1.6,0.1,405,45,50,45,95,90.0,70.0,142.0,Medium Slow,20.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,0.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
124,94,Gengar,1,Normal,Ghost,Poison,1.5,40.5,500,60,65,60,110,45.0,70.0,225.0,Medium Slow,20.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
126,95,Onix,1,Normal,Rock,Ground,8.8,210.0,385,35,45,160,70,45.0,70.0,77.0,Medium Fast,25.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
127,96,Drowzee,1,Normal,Psychic,,1.0,32.4,328,60,48,45,42,190.0,70.0,66.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
128,97,Hypno,1,Normal,Psychic,,1.6,75.6,483,85,73,70,67,75.0,70.0,169.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
129,98,Krabby,1,Normal,Water,,0.4,6.5,325,30,105,90,50,225.0,70.0,65.0,Medium Fast,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
130,99,Kingler,1,Normal,Water,,1.3,60.0,475,55,130,115,75,60.0,70.0,166.0,Medium Fast,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
131,100,Voltorb,1,Normal,Electric,,0.5,10.4,330,40,30,50,100,190.0,70.0,66.0,Medium Fast,20.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
132,101,Electrode,1,Normal,Electric,,1.2,66.6,490,60,50,70,150,60.0,70.0,172.0,Medium Fast,20.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
